,source_text,target_text,source_lang,target_lang,source_text_ner,target_text_ner,source_text_ner_tokens,target_text_ner_tokens
1593,When was the author who wrote Crime and Punishment born?,”罪と罰”の著者が生まれたのはいつか？,en,ja,"['O', 'O', 'O', 'O', 'O', 'O', 'B-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'O', 'O']","['O', 'O', 'O', 'O', 'O']","['When', 'was', 'the', 'author', 'who', 'wrote', 'Crime', 'and', 'Punishment', 'born', '?']","['”', '罪と罰', '”', 'の著者が生まれたのはいつか', '？']"
6953,How many NFL teams are from California?,カリフォルニアからのNFLチームはいくつある?,en,ja,"['O', 'O', 'B-ORG', 'O', 'O', 'O', 'B-GPE', 'O']","['B-LOC', 'O']","['How', 'many', 'NFL', 'teams', 'are', 'from', 'California', '?']","['カリフォルニアからのNFLチームはいくつある', '?']"
1790,"Which country has a smaller population, Russia or Gabon?","""ロシアとガボンでは、どちらの国の人口が少ないですか？""",en,ja,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-GPE', 'O', 'B-GPE', 'O']","['O', 'B-GPE', 'O', 'O', 'O', 'O']","['Which', 'country', 'has', 'a', 'smaller', 'population', ',', 'Russia', 'or', 'Gabon', '?']","['""', 'ロシアとガボンでは', '、', 'どちらの国の人口が少ないですか', '？', '""']"
4348,Which player holds the record for most goals in the Premier League?,プレミアリーグで最多得点の記録を保持している選手は?,en,ja,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'O']","['O', 'O']","['Which', 'player', 'holds', 'the', 'record', 'for', 'most', 'goals', 'in', 'the', 'Premier', 'League', '?']","['プレミアリーグで最多得点の記録を保持している選手は', '?']"
6166,How many soldiers died in the Vietnam war?,ベトナム戦争で何人の兵隊が死亡しましたか？,en,ja,"['O', 'O', 'O', 'O', 'O', 'B-EVENT', 'I-EVENT', 'I-EVENT', 'O']","['O', 'O']","['How', 'many', 'soldiers', 'died', 'in', 'the', 'Vietnam', 'war', '?']","['ベトナム戦争で何人の兵隊が死亡しましたか', '？']"
5540,Who was the first winner of the Super Bowl?,第一回のスーパーボウルで優勝したのは誰ですか？,en,ja,"['O', 'O', 'O', 'B-ORDINAL', 'O', 'O', 'B-EVENT', 'I-EVENT', 'I-EVENT', 'O']","['O', 'O']","['Who', 'was', 'the', 'first', 'winner', 'of', 'the', 'Super', 'Bowl', '?']","['第一回のスーパーボウルで優勝したのは誰ですか', '？']"
5789,What city is nicknamed The Big Easy?,ビッグイージーの愛称で親しまれている都市は？,en,ja,"['O', 'O', 'O', 'O', 'B-GPE', 'I-GPE', 'I-GPE', 'O']","['O', 'O']","['What', 'city', 'is', 'nicknamed', 'The', 'Big', 'Easy', '?']","['ビッグイージーの愛称で親しまれている都市は', '？']"
6187,How many Americans served in WW II?,第二次世界大戦の時に、何人のアメリカ人が戦争に行きましたか？,en,ja,"['O', 'O', 'B-NORP', 'O', 'O', 'B-EVENT', 'I-EVENT', 'O']","['B-EVENT', 'O', 'O', 'O']","['How', 'many', 'Americans', 'served', 'in', 'WW', 'II', '?']","['第二次世界大戦の時に', '、', '何人のアメリカ人が戦争に行きましたか', '？']"
4055,What is the worldwide highest grossing movie of all time?,全世界でこれまで最も興行収入の多かった映画は?,en,ja,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O']","['What', 'is', 'the', 'worldwide', 'highest', 'grossing', 'movie', 'of', 'all', 'time', '?']","['全世界でこれまで最も興行収入の多かった映画は', '?']"
457,"Was there a ""Star Wars"" movie released after ""Solo: A Star Wars Story""?","""「スター・ウォーズ」のシリーズで「ハン・ソロ／スター・ウォーズ・ストーリー」の後に 公開された映画はありますか？""",en,ja,"['O', 'O', 'O', 'O', 'B-WORK_OF_ART', 'I-WORK_OF_ART', 'O', 'O', 'O', 'O', 'O', 'B-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'O']","['O', 'O', 'B-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'O', 'B-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'O', 'O', 'O', 'O']","['Was', 'there', 'a', '""', 'Star', 'Wars', '""', 'movie', 'released', 'after', '""', 'Solo:', 'A', 'Star', 'Wars', 'Story', '""', '?']","['""', '「', 'スター', '・', 'ウォーズ', '」', 'のシリーズで', '「', 'ハン', '・', 'ソロ', '／', 'スター', '・', 'ウォーズ', '・', 'ストーリー', '」', 'の後に', '公開された映画はありますか', '？', '""']"
5368,Who is the only rapper to win a Pulitzer Prize?,ピューリッツァー賞を獲得したただ唯一のラッパーは誰ですか？,en,ja,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'O']","['O', 'O']","['Who', 'is', 'the', 'only', 'rapper', 'to', 'win', 'a', 'Pulitzer', 'Prize', '?']","['ピューリッツァー賞を獲得したただ唯一のラッパーは誰ですか', '？']"
3866,Has there ever been a woman president in the USA?,今までにアメリカ合衆国に女性の大統領はいましたか？,en,ja,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-GPE', 'O']","['O', 'O']","['Has', 'there', 'ever', 'been', 'a', 'woman', 'president', 'in', 'the', 'USA', '?']","['今までにアメリカ合衆国に女性の大統領はいましたか', '？']"
4081,Was Slumdog Millionaire directed by Danny Boyle?,スラムドッグ$ミリオネアの監督はダニー・ボイルでしたか?,en,ja,"['O', 'B-WORK_OF_ART', 'I-WORK_OF_ART', 'O', 'O', 'B-PERSON', 'I-PERSON', 'O']","['O', 'O', 'O', 'B-PERSON', 'I-PERSON', 'O']","['Was', 'Slumdog', 'Millionaire', 'directed', 'by', 'Danny', 'Boyle', '?']","['スラムドッグ', '$', 'ミリオネアの監督はダニー', '・', 'ボイルでしたか', '?']"
2166,What is the capital of the island country located south of Florida?,フロリダ州の南に位置する島国の首都は何ですか？,en,ja,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-GPE', 'O']","['O', 'O']","['What', 'is', 'the', 'capital', 'of', 'the', 'island', 'country', 'located', 'south', 'of', 'Florida', '?']","['フロリダ州の南に位置する島国の首都は何ですか', '？']"
756,Who won the most Grammys in 2021?,2021年のグラミー賞最多受賞者は誰か？,en,ja,"['O', 'O', 'O', 'O', 'B-WORK_OF_ART', 'O', 'B-DATE', 'O']","['B-DATE', 'I-DATE', 'O']","['Who', 'won', 'the', 'most', 'Grammys', 'in', '2021', '?']","['2021', '年のグラミー賞最多受賞者は誰か', '？']"
1783,Is Mount Everest taller than Mount Fuji?,エベレストは富士山より高いですか？,en,ja,"['O', 'B-LOC', 'I-LOC', 'O', 'O', 'B-LOC', 'I-LOC', 'O']","['B-LOC', 'O']","['Is', 'Mount', 'Everest', 'taller', 'than', 'Mount', 'Fuji', '?']","['エベレストは富士山より高いですか', '？']"
3605,What year did the husband of the longest-reigning queen in British history pass away?,イギリス史上、統治期間が最長であった女王の夫が亡くなったのは何年ですか？,en,ja,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-NORP', 'O', 'O', 'O', 'O']","['B-GPE', 'O', 'O', 'O']","['What', 'year', 'did', 'the', 'husband', 'of', 'the', 'longest', '-', 'reigning', 'queen', 'in', 'British', 'history', 'pass', 'away', '?']","['イギリス史上', '、', '統治期間が最長であった女王の夫が亡くなったのは何年ですか', '？']"
6627,What is the capital of the Philippines that served as the seat of the Spanish colonial government?,スペインの植民地政府の中枢として機能したフィリピンの首都はどこですか?,en,ja,"['O', 'O', 'O', 'O', 'O', 'O', 'B-GPE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-NORP', 'O', 'O', 'O']","['O', 'O']","['What', 'is', 'the', 'capital', 'of', 'the', 'Philippines', 'that', 'served', 'as', 'the', 'seat', 'of', 'the', 'Spanish', 'colonial', 'government', '?']","['スペインの植民地政府の中枢として機能したフィリピンの首都はどこですか', '?']"
6317,Who was the first ruler of Egypt during the Ptolemaic period?,プトレマイオス朝時代のエジプトの初代支配者は誰か？,en,ja,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O']","['Who', 'was', 'the', 'first', 'ruler', 'of', 'Egypt', 'during', 'the', 'Ptolemaic', 'period', '?']","['プトレマイオス朝時代のエジプトの初代支配者は誰か', '？']"
5657,Who wrote The Animal Farm?,『動物農場』を書いたのは誰ですか？,en,ja,"['O', 'O', 'B-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'O']","['O', 'O', 'O', 'O', 'O']","['Who', 'wrote', 'The', 'Animal', 'Farm', '?']","['『', '動物農場', '』', 'を書いたのは誰ですか', '？']"
6941,Who is the youngest person to win Best Country Album at the Grammys?,グラミー賞最優秀カントリー・アルバムを受賞した一番若い人は誰ですか？,en,ja,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'O', 'O', 'B-EVENT', 'O']","['B-WORK_OF_ART', 'O', 'O', 'O']","['Who', 'is', 'the', 'youngest', 'person', 'to', 'win', 'Best', 'Country', 'Album', 'at', 'the', 'Grammys', '?']","['グラミー賞最優秀カントリー', '・', 'アルバムを受賞した一番若い人は誰ですか', '？']"
4680,What is the tenth tallest mountain in Europe?,ヨーロッパで10番目に高い山は何でしょうか？,en,ja,"['O', 'O', 'O', 'B-ORDINAL', 'O', 'O', 'O', 'B-LOC', 'O']","['B-LOC', 'O']","['What', 'is', 'the', 'tenth', 'tallest', 'mountain', 'in', 'Europe', '?']","['ヨーロッパで10番目に高い山は何でしょうか', '？']"
