source_text,target_text,source_lang,target_lang,source_text_ner,target_text_ner,source_text_ner_tokens,target_text_ner_tokens
What is the seventh tallest mountain in North America?,北アメリカで七番目に高い山は何ですか？,en,ja,"['O', 'O', 'O', 'B-ORDINAL', 'O', 'O', 'O', 'B-LOC', 'I-LOC', 'O']","['B-LOC', 'O']","['What', 'is', 'the', 'seventh', 'tallest', 'mountain', 'in', 'North', 'America', '?']","['北アメリカで七番目に高い山は何ですか', '？']"
"Which actor was the star of Titanic and was born in Los Angeles, California?",タイタニックのスターで、カリフォルニア州ロサンゼルス生まれの俳優は誰ですか?,en,ja,"['O', 'O', 'O', 'O', 'O', 'O', 'B-WORK_OF_ART', 'O', 'O', 'O', 'O', 'B-GPE', 'I-GPE', 'I-GPE', 'I-GPE', 'O']","['O', 'O', 'O', 'O']","['Which', 'actor', 'was', 'the', 'star', 'of', 'Titanic', 'and', 'was', 'born', 'in', 'Los', 'Angeles', ',', 'California', '?']","['タイタニックのスターで', '、', 'カリフォルニア州ロサンゼルス生まれの俳優は誰ですか', '?']"
What year was the first book of the A Song of Ice and Fire series published?,氷と炎の歌シリーズの最初の本が出版された年は何年ですか？,en,ja,"['O', 'O', 'O', 'O', 'B-ORDINAL', 'O', 'O', 'O', 'B-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'O', 'O', 'O']","['O', 'O']","['What', 'year', 'was', 'the', 'first', 'book', 'of', 'the', 'A', 'Song', 'of', 'Ice', 'and', 'Fire', 'series', 'published', '?']","['氷と炎の歌シリーズの最初の本が出版された年は何年ですか', '？']"
Who is the youngest current US governor?,アメリカで現在最年少の知事は誰ですか？,en,ja,"['O', 'O', 'O', 'O', 'O', 'B-GPE', 'O', 'O']","['B-GPE', 'O']","['Who', 'is', 'the', 'youngest', 'current', 'US', 'governor', '?']","['アメリカで現在最年少の知事は誰ですか', '？']"
How long did it take to build the Lincoln Memorial?,リンカーン記念堂を建てるのにどれくらい時間がかかりましたか？,en,ja,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-FAC', 'I-FAC', 'I-FAC', 'O']","['O', 'O']","['How', 'long', 'did', 'it', 'take', 'to', 'build', 'the', 'Lincoln', 'Memorial', '?']","['リンカーン記念堂を建てるのにどれくらい時間がかかりましたか', '？']"
Has Bernie Sanders ever been president of the United States?,バーニーサンダースは今までアメリカの大統領になったことがありますか？,en,ja,"['O', 'B-PERSON', 'I-PERSON', 'O', 'O', 'O', 'O', 'B-GPE', 'I-GPE', 'I-GPE', 'O']","['O', 'O']","['Has', 'Bernie', 'Sanders', 'ever', 'been', 'president', 'of', 'the', 'United', 'States', '?']","['バーニーサンダースは今までアメリカの大統領になったことがありますか', '？']"
Which actor was Stephenie Meyer's first choice to play Edward Cullen in the movie Twilight?,映画トワイライトでエドワードカレンを演じた、ステファニー・メイヤーが初めて選んだ俳優は誰ですか？,en,ja,"['O', 'O', 'O', 'B-PERSON', 'I-PERSON', 'B-ORDINAL', 'O', 'O', 'O', 'B-PERSON', 'I-PERSON', 'O', 'O', 'O', 'B-WORK_OF_ART', 'O']","['O', 'O', 'B-PERSON', 'I-PERSON', 'I-PERSON', 'O']","['Which', 'actor', 'was', 'Stephenie', ""Meyer's"", 'first', 'choice', 'to', 'play', 'Edward', 'Cullen', 'in', 'the', 'movie', 'Twilight', '?']","['映画トワイライトでエドワードカレンを演じた', '、', 'ステファニー', '・', 'メイヤーが初めて選んだ俳優は誰ですか', '？']"
Which river is longer than the Mississippi River?,ミシシッピ川より長いのはどの川ですか?,en,ja,"['O', 'O', 'O', 'O', 'O', 'B-LOC', 'I-LOC', 'I-LOC', 'O']","['B-LOC', 'O']","['Which', 'river', 'is', 'longer', 'than', 'the', 'Mississippi', 'River', '?']","['ミシシッピ川より長いのはどの川ですか', '?']"
What is the latest US state to be admitted to the union that is not Hawaii?,ハワイではなく、一番最近連邦に入ることを認められたアメリカの州は何ですか？,en,ja,"['O', 'O', 'O', 'O', 'B-GPE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-GPE', 'O']","['B-GPE', 'O', 'O', 'O']","['What', 'is', 'the', 'latest', 'US', 'state', 'to', 'be', 'admitted', 'to', 'the', 'union', 'that', 'is', 'not', 'Hawaii', '?']","['ハワイではなく', '、', '一番最近連邦に入ることを認められたアメリカの州は何ですか', '？']"
What is the longest lake in the world?,世界で一番長い湖はなんですか？,en,ja,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O']","['What', 'is', 'the', 'longest', 'lake', 'in', 'the', 'world', '?']","['世界で一番長い湖はなんですか', '？']"
Is Texas the largest state in US?,アメリカの一番大きい州はテキサス州ですか？,en,ja,"['O', 'B-GPE', 'O', 'O', 'O', 'O', 'B-GPE', 'O']","['B-GPE', 'O']","['Is', 'Texas', 'the', 'largest', 'state', 'in', 'US', '?']","['アメリカの一番大きい州はテキサス州ですか', '？']"
How many times have the Los Angeles Dodgers lost the World Series?,ロサンゼルスドジャースはワールドシリーズで何回負けましたか？,en,ja,"['O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'O', 'B-EVENT', 'I-EVENT', 'I-EVENT', 'O']","['O', 'O']","['How', 'many', 'times', 'have', 'the', 'Los', 'Angeles', 'Dodgers', 'lost', 'the', 'World', 'Series', '?']","['ロサンゼルスドジャースはワールドシリーズで何回負けましたか', '？']"
Who was the president of Argentina from 1989 to 1999?,1989年から1999年までアルゼンチンの大統領だったのは誰ですか？,en,ja,"['O', 'O', 'O', 'O', 'O', 'B-GPE', 'B-DATE', 'I-DATE', 'I-DATE', 'I-DATE', 'O']","['B-DATE', 'O', 'O']","['Who', 'was', 'the', 'president', 'of', 'Argentina', 'from', '1989', 'to', '1999', '?']","['1989', '年から1999年までアルゼンチンの大統領だったのは誰ですか', '？']"
"Who was a member of the 2004 U.S. Olympic men's swim team and born in Baltimore, Maryland?",メリーランド州ボルチモアで生まれ、2004年オリンピックのアメリカ代表男子水泳チームのメンバーだったのは誰ですか？,en,ja,"['O', 'O', 'O', 'O', 'O', 'O', 'B-DATE', 'B-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'B-GPE', 'O', 'B-GPE', 'O']","['B-GPE', 'O', 'B-DATE', 'O', 'O']","['Who', 'was', 'a', 'member', 'of', 'the', '2004', 'U.S.', 'Olympic', ""men's"", 'swim', 'team', 'and', 'born', 'in', 'Baltimore', ',', 'Maryland', '?']","['メリーランド州ボルチモアで生まれ', '、', '2004', '年オリンピックのアメリカ代表男子水泳チームのメンバーだったのは誰ですか', '？']"
